LSOA Code,LSOA Name,LA Code (2019 boundaries),LA name (2019 boundaries),LA Code (2020 boundaries),LA name (2020 boundaries),All Ages,0-15,16-29,30-44,45-64,65
E01018915,Cornwall 049D,E06000052,Cornwall,E06000052,Cornwall,"2,303",425,306,500,520,552
E01018916,Cornwall 050A,E06000052,Cornwall,E06000052,Cornwall,"1,416",273,184,252,457,250
E01018917,Cornwall 050B,E06000052,Cornwall,E06000052,Cornwall,"1,362",191,152,187,448,384
E01018918,Cornwall 050C,E06000052,Cornwall,E06000052,Cornwall,"1,866",335,231,287,506,507
E01018919,Cornwall 050D,E06000052,Cornwall,E06000052,Cornwall,"1,451",255,145,243,411,397
E01018920,Cornwall 073E,E06000052,Cornwall,E06000052,Cornwall,"2,082",311,214,271,638,648
E01018921,Cornwall 059C,E06000052,Cornwall,E06000052,Cornwall,"2,289",443,235,382,708,521
E01018922,Cornwall 059D,E06000052,Cornwall,E06000052,Cornwall,"2,590",471,365,368,836,550
E01018923,Cornwall 011A,E06000052,Cornwall,E06000052,Cornwall,"1,355",219,132,181,405,418
E01018924,Cornwall 007A,E06000052,Cornwall,E06000052,Cornwall,"1,352",237,179,185,430,321
E01018925,Cornwall 006A,E06000052,Cornwall,E06000052,Cornwall,"2,220",317,248,260,716,679
E01018926,Cornwall 011B,E06000052,Cornwall,E06000052,Cornwall,"2,412",324,225,263,844,756
E01018927,Cornwall 015A,E06000052,Cornwall,E06000052,Cornwall,"1,838",411,296,318,460,353
E01018928,Cornwall 015B,E06000052,Cornwall,E06000052,Cornwall,"1,842",348,332,381,482,299
E01018929,Cornwall 015C,E06000052,Cornwall,E06000052,Cornwall,"1,505",300,243,247,353,362
E01018930,Cornwall 015D,E06000052,Cornwall,E06000052,Cornwall,"1,667",447,260,352,385,223
E01018931,Cornwall 015E,E06000052,Cornwall,E06000052,Cornwall,"1,146",178,167,150,305,346
E01018932,Cornwall 014A,E06000052,Cornwall,E06000052,Cornwall,"1,786",349,285,289,483,380
